ro	en	fr
Căpitanul	Captain	Capitaine
CĂPITANUL	CAPTAIN	CAPITAINE
Română	Romanian	Roumain
Un echipaj. O singură navă.	One crew. One ship.	Un équipage. Un seul vaisseau.
Predă Căpitanului și pornește	Hand over to the Captain and start	Passer le relais au Capitaine et démarrer
Revezi trecerea cu obturatorul închis	Replay with shutter closed	Revoir avec l'obturateur fermé
Înregistrează tot · gratuit	Record everything · free	Tout enregistrer · gratuit
Închizi obturatorul prin nor sau lași sonda să înregistreze?	Close the shutter in the cloud, or let the probe keep recording?	Fermer l'obturateur dans le nuage ou laisser la sonde enregistrer ?
Orizont ×{0}	Range ×{0}	Portée ×{0}
Orizont ×1	Range ×1	Portée ×1
REPERELE CĂLĂTORIEI	JOURNEY WAYPOINTS	REPÈRES DU VOYAGE
SINCRONIZAT CU FILMUL · TRASEU SCHEMATIC	SYNCHRONIZED WITH THE FILM · SCHEMATIC ROUTE	SYNCHRONISÉ AVEC LE FILM · TRAJET SCHÉMATIQUE
PLECARE	DEPARTURE	DÉPART
Decolarea	Take-off	Décollage
DIRECȚIE	DIRECTION	DIRECTION
TRASEU	ROUTE	TRAJET
ENERGIE	ENERGY	ÉNERGIE
STABILITATE	STABILITY	STABILITÉ
CUVINTE	WORDS	MOTS
SEMNAL	SIGNAL	SIGNAL
PULS	PULSE	POULS
LEGĂTURĂ	CONNECTION	LIEN
AMINTIRE	MEMORY	SOUVENIR
TIMP	TIME	TEMPS
Locul din stânga	Left seat	Place à gauche
Locul din dreapta	Right seat	Place à droite
Fiecare alege în locul său. La fel, diferit sau doar priviți — toate sunt în regulă.	Choose on your own side. You can agree, choose differently or simply watch.	Choisis de ton côté. Vous pouvez faire le même choix, choisir différemment ou simplement regarder.
Comandantul	Commander	Commandant
Avatarul AI	AI Avatar	Avatar IA
Lumea Luminii	World of Light	Monde de la Lumière
Lumea Naturii	World of Nature	Monde de la Nature
Lumea Cristalului	Crystal World	Monde du Cristal
Steaua Omenirii	Humanity's Star	L'Étoile de l'Humanité
Protocolul Acasă · original	Home Protocol · original	Protocole Retour · original
5–10 ani · Steaua Omenirii	Ages 5–10 · Humanity's Star	5–10 ans · L'Étoile de l'Humanité
10–15 ani · Semnalul fără semnătură	Ages 10–15 · The Unsigned Signal	10–15 ans · Le Signal sans signature
15–18 ani · Dreptul de a schimba cursul	Ages 15–18 · The Right to Change Course	15–18 ans · Le Droit de changer de cap
Adulți · Ce lăsăm deschis	Adults · What We Leave Open	Adultes · Ce que nous laissons ouvert
A PATRA LUME	THE FOURTH WORLD	LE QUATRIÈME MONDE
A  P A T R A  L U M E	THE FOURTH WORLD	LE QUATRIÈME MONDE
Acasă	Home	Chez nous
Pământ	Earth	Terre
Pământul	Earth	La Terre
Saturn	Saturn	Saturne
Lumina	Light	Lumière
Natura	Nature	Nature
Cristal	Crystal	Cristal
Tunel	Tunnel	Tunnel
Stea	Star	Étoile
Cerc	Circle	Cercle
Picătură	Drop	Goutte
Frunză	Leaf	Feuille
Triunghi	Triangle	Triangle
Pătrat	Square	Carré
Romb	Diamond	Losange
Spirală	Spiral	Spirale
Inimă	Heart	Cœur
Soare	Sun	Soleil
Roșu	Red	Rouge
Albastru	Blue	Bleu
Verde	Green	Vert
Galben	Yellow	Jaune
Mov	Purple	Violet
Roz	Pink	Rose
Portocaliu	Orange	Orange
Alb	White	Blanc
Negru	Black	Noir
Curiozitatea	Curiosity	La curiosité
Echipajul	The crew	L'équipage
Navigație	Navigation	Navigation
Propulsie	Propulsion	Propulsion
Comunicații	Communications	Communications
Memorie	Memory	Mémoire
Resurse	Resources	Ressources
Explorator	Explorer	Explorateur
explorator	 explorer	 explorateur
exploratori	explorers	explorateurs
Gata	Ready	Prêt
Confirmă	Confirm	Confirmer
Continuă	Continue	Continuer
Înapoi	Back	Retour
Pauză	Pause	Pause
Pornește	Start	Démarrer
Start	Start	Démarrer
Oprește	Stop	Arrêter
Reia	Resume	Reprendre
Trimite	Send	Envoyer
Închide	Close	Fermer
Deschide	Open	Ouvrir
Alege	Choose	Choisir
Privește	Watch	Regarder
Doar privesc	Just watching	Je regarde
Da	Yes	Oui
Nu	No	Non
Anulează	Cancel	Annuler
Salvează	Save	Enregistrer
Salut, navă!	Hello, ship!	Salut, vaisseau !
Trimite simbolul meu	Send my symbol	Envoyer mon symbole
Loc liber	Free seat	Place libre
Postul {0}	Station {0}	Poste {0}
